2026-04-20T17:35:14.789198, server2, 192.168.0.5, /login, 404, 1.024
2026-04-20T17:38:48.129977, server3, 192.168.0.2, /api/data, 200, 0.737
2026-04-20T17:35:44.650831, server1, 172.16.0.1, /api/data, 200, 0.931
2026-04-20T17:29:52.851930, server2, 172.16.0.1, /api/data, 200, 0.55
2026-04-20T17:31:27.609827, server3, 172.16.0.1, /, 500, 0.506
2026-04-20T17:38:45.786154, server1, 192.168.0.5, /, 200, 0.78
2026-04-20T17:36:40.466360, server1, 192.168.0.2, /products, 200, 0.978
2026-04-20T17:34:29.520084, server1, 172.16.0.1, /api/data, 200, 0.547
2026-04-20T17:36:32.430989, server1, 10.0.0.8, /products, 500, 1.044
2026-04-20T17:28:28.461861, server1, 10.0.0.8, /products, 200, 1.118
2026-04-20T17:28:37.893509, server1, 10.0.0.8, /, 200, 0.565
2026-04-20T17:27:31.949437, server1, 10.0.0.8, /, 200, 0.925
2026-04-20T17:34:36.570063, server2, 172.16.0.1, /api/data, 200, 0.735
2026-04-20T17:25:56.251523, server2, 10.0.0.8, /, 404, 0.485
2026-04-20T17:40:51.110575, server3, 192.168.0.2, /login, 500, 0.437
2026-04-20T17:30:18.552483, server3, 172.16.0.1, /products, 200, 0.429
2026-04-20T17:37:00.891411, server2, 192.168.0.5, /products, 200, 0.483
2026-04-20T17:44:32.859406, server3, 172.16.0.1, /api/data, 500, 0.179
2026-04-20T17:27:00.895037, server1, 192.168.0.5, /login, 404, 0.081
2026-04-20T17:37:00.551958, server1, 192.168.0.2, /, 200, 0.119
2026-04-20T17:39:01.408418, server3, 192.168.0.2, /products, 200, 0.636
2026-04-20T17:44:22.982631, server1, 192.168.0.2, /, 404, 0.41
2026-04-20T17:27:38.648614, server2, 192.168.0.5, /login, 404, 0.219
2026-04-20T17:37:52.720313, server2, 192.168.0.2, /products, 200, 0.971
2026-04-20T17:37:09.626298, server2, 172.16.0.1, /, 200, 1.014
2026-04-20T17:40:09.074743, server2, 172.16.0.1, /, 500, 0.388
2026-04-20T17:36:50.112166, server1, 172.16.0.1, /products, 404, 1.149
2026-04-20T17:33:30.690960, server1, 192.168.0.5, /login, 200, 0.781
2026-04-20T17:26:11.787021, server2, 192.168.0.2, /login, 200, 0.282
2026-04-20T17:32:04.524841, server2, 192.168.0.2, /login, 500, 0.528
2026-04-20T17:37:57.538728, server3, 192.168.0.5, /, 200, 0.655
2026-04-20T17:39:33.072573, server2, 172.16.0.1, /, 200, 0.144
2026-04-20T17:27:48.599916, server2, 192.168.0.2, /, 200, 1.171
2026-04-20T17:43:10.681426, server1, 192.168.0.5, /api/data, 200, 0.571
2026-04-20T17:38:36.817664, server3, 172.16.0.1, /, 200, 0.78
2026-04-20T17:36:32.706558, server1, 192.168.0.2, /, 500, 0.864
2026-04-20T17:27:07.299053, server1, 192.168.0.5, /, 404, 0.389
2026-04-20T17:39:23.377439, server3, 172.16.0.1, /products, 200, 0.489
2026-04-20T17:43:03.869145, server3, 10.0.0.8, /login, 200, 0.172
2026-04-20T17:33:19.311616, server3, 10.0.0.8, /api/data, 404, 0.931
2026-04-20T17:35:32.952210, server3, 192.168.0.5, /, 500, 0.128
2026-04-20T17:42:03.232209, server2, 192.168.0.5, /login, 404, 0.646
2026-04-20T17:35:49.647757, server1, 10.0.0.8, /products, 200, 1.121
2026-04-20T17:27:36.556192, server2, 10.0.0.8, /, 500, 0.053
2026-04-20T17:40:07.246684, server2, 192.168.0.2, /api/data, 500, 0.57
2026-04-20T17:25:47.264166, server1, 10.0.0.8, /products, 200, 0.583
2026-04-20T17:35:08.169798, server1, 172.16.0.1, /products, 200, 0.322
2026-04-20T17:27:20.432060, server1, 172.16.0.1, /login, 200, 0.182
2026-04-20T17:26:56.431359, server1, 172.16.0.1, /api/data, 200, 1.091
2026-04-20T17:30:22.357023, server2, 192.168.0.2, /api/data, 404, 0.539
2026-04-20T17:37:31.159292, server2, 192.168.0.2, /api/data, 200, 0.565
2026-04-20T17:41:28.728705, server3, 10.0.0.8, /, 200, 0.913
2026-04-20T17:30:51.196558, server1, 10.0.0.8, /products, 500, 0.115
2026-04-20T17:32:03.078023, server1, 10.0.0.8, /products, 404, 0.86
2026-04-20T17:36:44.239907, server2, 10.0.0.8, /, 200, 0.957
2026-04-20T17:42:24.086565, server2, 172.16.0.1, /api/data, 200, 0.069
2026-04-20T17:40:05.996493, server2, 192.168.0.2, /products, 200, 0.154
2026-04-20T17:32:35.013360, server1, 10.0.0.8, /api/data, 200, 0.336
2026-04-20T17:42:13.305738, server2, 192.168.0.5, /api/data, 404, 0.985
2026-04-20T17:41:25.876746, server2, 192.168.0.2, /login, 500, 0.987
2026-04-20T17:26:26.029470, server2, 192.168.0.2, /api/data, 200, 0.181
2026-04-20T17:37:40.519879, server3, 192.168.0.5, /login, 200, 0.466
2026-04-20T17:33:07.502796, server1, 10.0.0.8, /login, 500, 0.972
2026-04-20T17:31:52.769039, server3, 192.168.0.2, /, 500, 0.099
2026-04-20T17:34:18.212300, server1, 172.16.0.1, /, 500, 0.68
2026-04-20T17:44:21.702482, server3, 10.0.0.8, /, 200, 0.981
2026-04-20T17:36:59.608675, server1, 10.0.0.8, /api/data, 200, 1.057
2026-04-20T17:42:46.062787, server3, 192.168.0.5, /api/data, 500, 0.552
2026-04-20T17:30:02.532361, server2, 172.16.0.1, /products, 200, 1.099
2026-04-20T17:28:33.228607, server1, 10.0.0.8, /login, 200, 0.599
2026-04-20T17:24:52.862942, server3, 192.168.0.2, /products, 500, 1.154
2026-04-20T17:40:37.385026, server2, 192.168.0.5, /products, 404, 0.463
2026-04-20T17:26:04.098053, server2, 192.168.0.2, /products, 404, 0.085
2026-04-20T17:32:06.041991, server2, 10.0.0.8, /, 200, 0.492
2026-04-20T17:30:34.857196, server2, 10.0.0.8, /api/data, 200, 0.892
2026-04-20T17:26:05.835478, server2, 10.0.0.8, /products, 500, 0.306
2026-04-20T17:39:54.889432, server2, 10.0.0.8, /api/data, 200, 0.237
2026-04-20T17:42:52.513444, server3, 192.168.0.5, /products, 404, 1.099
2026-04-20T17:34:42.084359, server2, 192.168.0.2, /, 500, 0.854
2026-04-20T17:32:28.941103, server1, 10.0.0.8, /login, 200, 1.073
2026-04-20T17:38:38.591330, server2, 192.168.0.5, /login, 200, 0.379
2026-04-20T17:37:32.869651, server1, 10.0.0.8, /products, 404, 0.351
2026-04-20T17:25:14.293350, server1, 172.16.0.1, /, 500, 0.387
2026-04-20T17:29:29.778511, server3, 10.0.0.8, /products, 200, 0.104
2026-04-20T17:37:41.463444, server2, 172.16.0.1, /, 200, 0.372
2026-04-20T17:33:49.768654, server3, 10.0.0.8, /products, 500, 0.735
2026-04-20T17:27:36.802024, server1, 192.168.0.2, /api/data, 200, 1.155
2026-04-20T17:24:57.899810, server3, 172.16.0.1, /api/data, 200, 0.323
2026-04-20T17:38:26.282901, server2, 10.0.0.8, /api/data, 404, 0.078
2026-04-20T17:30:10.281950, server3, 192.168.0.5, /api/data, 500, 0.644
2026-04-20T17:35:41.160724, server2, 10.0.0.8, /products, 200, 0.835
2026-04-20T17:26:49.316066, server2, 192.168.0.5, /, 200, 0.477
2026-04-20T17:41:41.116864, server3, 172.16.0.1, /login, 200, 0.599
2026-04-20T17:25:20.352245, server3, 192.168.0.5, /api/data, 200, 0.424
2026-04-20T17:42:44.595870, server1, 192.168.0.5, /login, 404, 1.035
2026-04-20T17:37:31.565784, server3, 192.168.0.2, /, 200, 0.802
2026-04-20T17:24:48.245941, server2, 10.0.0.8, /api/data, 200, 0.164
2026-04-20T17:40:19.200046, server2, 172.16.0.1, /login, 500, 0.458
2026-04-20T17:28:47.190879, server3, 192.168.0.5, /login, 200, 0.375
2026-04-20T17:26:58.519002, server1, 172.16.0.1, /api/data, 200, 0.944
2026-04-20T17:36:45.758378, server2, 192.168.0.5, /login, 500, 1.06
2026-04-20T17:43:18.463578, server2, 10.0.0.8, /products, 200, 0.101
2026-04-20T17:29:01.362097, server2, 192.168.0.5, /login, 200, 1.172
2026-04-20T17:40:57.243862, server3, 192.168.0.2, /products, 404, 0.392
2026-04-20T17:27:40.827957, server2, 192.168.0.2, /, 404, 0.31
2026-04-20T17:27:28.479732, server1, 192.168.0.2, /api/data, 200, 0.797
2026-04-20T17:26:55.612448, server2, 192.168.0.2, /products, 200, 0.618
2026-04-20T17:32:29.306432, server1, 10.0.0.8, /api/data, 200, 1.2
2026-04-20T17:31:30.187701, server1, 10.0.0.8, /, 200, 0.715
2026-04-20T17:27:24.603330, server3, 10.0.0.8, /login, 200, 1.02
2026-04-20T17:29:20.291915, server1, 192.168.0.2, /api/data, 200, 0.407
2026-04-20T17:37:44.300664, server1, 10.0.0.8, /, 500, 0.62
2026-04-20T17:42:34.907327, server2, 192.168.0.2, /, 200, 0.471
2026-04-20T17:37:52.126734, server3, 192.168.0.5, /products, 200, 1.007
2026-04-20T17:44:06.236230, server1, 172.16.0.1, /api/data, 500, 0.639
2026-04-20T17:39:11.903432, server2, 192.168.0.5, /, 200, 0.125
2026-04-20T17:37:32.510052, server1, 192.168.0.2, /login, 200, 0.375
2026-04-20T17:30:26.368905, server2, 172.16.0.1, /, 500, 0.345
2026-04-20T17:39:40.328031, server2, 192.168.0.2, /products, 404, 0.957
2026-04-20T17:34:58.114457, server3, 192.168.0.5, /products, 200, 0.2
2026-04-20T17:39:15.096138, server2, 10.0.0.8, /, 500, 0.247
2026-04-20T17:42:00.017678, server1, 192.168.0.5, /login, 200, 0.26
2026-04-20T17:37:21.528510, server3, 192.168.0.5, /, 200, 1.118
2026-04-20T17:28:24.081414, server1, 192.168.0.5, /products, 500, 0.148
2026-04-20T17:30:25.413707, server1, 172.16.0.1, /products, 500, 0.579
2026-04-20T17:42:33.288857, server1, 10.0.0.8, /api/data, 200, 0.939
2026-04-20T17:28:47.225108, server1, 192.168.0.2, /login, 200, 0.74
2026-04-20T17:33:00.512394, server3, 192.168.0.2, /, 200, 0.37
2026-04-20T17:27:45.369026, server1, 192.168.0.2, /, 404, 0.454
2026-04-20T17:36:25.668103, server2, 10.0.0.8, /, 200, 0.294
2026-04-20T17:44:35.610105, server1, 172.16.0.1, /, 404, 0.476
2026-04-20T17:28:21.758113, server1, 192.168.0.5, /login, 200, 1.024
2026-04-20T17:28:21.388152, server2, 192.168.0.2, /api/data, 200, 0.969
2026-04-20T17:26:20.646870, server3, 192.168.0.2, /products, 200, 1.171
2026-04-20T17:43:21.642693, server3, 192.168.0.2, /login, 200, 0.918
2026-04-20T17:37:49.282901, server1, 172.16.0.1, /products, 200, 1.089
2026-04-20T17:32:11.639615, server1, 192.168.0.2, /login, 404, 0.738
2026-04-20T17:25:20.247119, server1, 10.0.0.8, /products, 404, 0.191
2026-04-20T17:27:41.610823, server2, 192.168.0.2, /, 200, 0.458
2026-04-20T17:25:51.691277, server3, 192.168.0.5, /, 500, 0.564
2026-04-20T17:34:21.317129, server3, 192.168.0.2, /, 200, 0.866
2026-04-20T17:33:07.453468, server2, 10.0.0.8, /login, 200, 0.512
2026-04-20T17:42:12.391654, server3, 192.168.0.5, /products, 200, 0.388
2026-04-20T17:39:27.496037, server2, 172.16.0.1, /, 200, 0.69
2026-04-20T17:38:37.618260, server1, 172.16.0.1, /login, 200, 0.535
2026-04-20T17:30:21.889439, server1, 172.16.0.1, /products, 200, 1.12
2026-04-20T17:33:45.510233, server2, 192.168.0.2, /api/data, 200, 0.502
2026-04-20T17:33:35.913456, server1, 192.168.0.5, /api/data, 200, 0.786
2026-04-20T17:25:25.195769, server3, 10.0.0.8, /api/data, 200, 0.435
2026-04-20T17:42:24.433417, server1, 10.0.0.8, /products, 404, 0.668
2026-04-20T17:35:13.198671, server2, 10.0.0.8, /login, 200, 0.918
2026-04-20T17:36:05.968676, server1, 10.0.0.8, /products, 500, 0.375
2026-04-20T17:32:54.267782, server3, 10.0.0.8, /products, 404, 0.401
2026-04-20T17:35:16.888460, server3, 192.168.0.5, /, 200, 0.161
